name,user_id,round_id,example_id,question_0_This post is:,question_1_Total relationship duration,question_2_Current relationship status,question_3_How would you rate the risk level of the woman's relationship based on the information provided in the post?,question_4_Does she mention avoiding social events or outings with friends or family because of him or maybe making excuses for not going out?,"question_5_Does she frequently feel anxious in her interactions with him, as if she needs to be careful with her words and actions?",question_6_Does he frequently make her feel guilty?,question_7_Does he frequently express dissatisfaction with her?,question_8_Does he try to manipulate her?,question_9_Does she feel she doesn't have option to leave him?,"question_10_Has she mentioned feeling like she has to dress, appear or act a certain way to please him?",question_11_Does he exhibit a tendency for angry outbursts?,question_12_Does she ever feel unsafe or threatened by him? Or does it seem evident from the post that he threatened/stalked/harassed her?,question_13_Does she mention that he was physically violent to her?,question_14_Does she mention that he was physically violent towards objects/animals related to her?,question_15_Does she describe verbal violence from her partner? (e.g. name calling/humilation),question_16_Age of female,question_17_Age of male,index_col,index_posts,originalIndex,part
Adi,1,5,5,relevant,0-1 year,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,24,25,5,105,97,evaluation
Roni,2,5,5,relevant,0-1 year,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,24,25,5,105,97,evaluation
Adi,1,6,6,relevant,3+ years (long),friends,low,no,no,no,no,no,no,no,no,no,no,no,no,30,40,6,106,53,evaluation
Roni,2,6,6,relevant,3+ years (long),friends,low,no,no,no,no,no,no,no,no,no,no,no,no,30,40,6,106,53,evaluation
Adi,1,7,7,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,yes,yes,no,no,no,no,no,no,no,no,21,22,7,107,71,evaluation
Roni,2,7,7,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,yes,yes,no,no,no,no,no,no,no,no,21,22,7,107,71,evaluation
Adi,1,8,8,relevant,0-1 year,non committed relationship,low,no,no,no,no,yes,no,no,no,no,no,no,no,23,23,8,108,191,evaluation
Roni,2,8,8,relevant,0-1 year,non committed relationship,low,no,no,no,no,yes,no,no,no,no,no,no,no,23,23,8,108,191,evaluation
Adi,1,9,9,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,yes,22,21,9,109,28,evaluation
Roni,2,9,9,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,yes,22,21,9,109,28,evaluation
Adi,1,10,10,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,0,0,10,110,310,evaluation
Roni,2,10,10,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,-1,-1,10,110,310,evaluation
Adi,1,11,11,relevant,1-3 years,separated/divorced,medium,no,no,yes,yes,yes,no,no,no,no,no,no,yes,-1,-1,11,111,284,evaluation
Roni,2,11,11,relevant,1-3 years,separated/divorced,medium,no,no,yes,yes,yes,no,no,no,no,no,no,yes,-1,-1,11,111,284,evaluation
Adi,1,12,12,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,26,27,12,112,147,evaluation
Roni,2,12,12,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,26,27,12,112,147,evaluation
Adi,1,13,13,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,24,33,13,113,282,evaluation
Roni,2,13,13,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,24,33,13,113,282,evaluation
Adi,1,14,14,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,28,28,14,114,201,evaluation
Roni,2,14,14,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,28,28,14,114,201,evaluation
Adi,1,15,15,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,29,29,15,115,251,evaluation
Roni,2,15,15,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,29,29,15,115,251,evaluation
Adi,1,16,16,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20,20,16,116,273,evaluation
Roni,2,16,16,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20,20,16,116,273,evaluation
Adi,1,17,17,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,0,0,17,117,73,evaluation
Roni,2,17,17,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,-1,-1,17,117,73,evaluation
Adi,1,18,18,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,25,26,18,118,92,evaluation
Roni,2,18,18,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,25,26,18,118,92,evaluation
Adi,1,19,19,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,0,0,19,119,126,evaluation
Roni,2,19,19,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,-1,-1,19,119,126,evaluation
Adi,1,20,20,relevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,24,25,20,120,303,evaluation
Roni,2,20,20,relevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,24,25,20,120,303,evaluation
Adi,1,21,21,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,yes,no,no,no,no,no,no,no,37,37,21,121,140,evaluation
Roni,2,21,21,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,yes,no,no,no,no,no,no,no,37,37,21,121,140,evaluation
Adi,1,22,22,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,34,39,22,122,274,evaluation
Roni,2,22,22,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,34,39,22,122,274,evaluation
Adi,1,23,23,relevant,1-3 years,boyfriend/girlfriend (dating),medium,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,29,30,23,123,213,evaluation
Roni,2,23,23,relevant,1-3 years,boyfriend/girlfriend (dating),medium,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,29,30,23,123,213,evaluation
Adi,1,24,24,relevant,unclear from the post,separated/divorced,medium,no,no,yes,yes,no,no,no,no,no,no,no,yes,20,22,24,124,182,evaluation
Roni,2,24,24,relevant,unclear from the post,separated/divorced,medium,no,no,yes,yes,no,no,no,no,no,no,no,yes,20,22,24,124,182,evaluation
Adi,1,25,25,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,24,33,25,125,103,evaluation
Roni,2,25,25,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,24,33,25,125,103,evaluation
Adi,1,26,26,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,19,19,26,126,11,evaluation
Roni,2,26,26,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,19,19,26,126,11,evaluation
Adi,1,27,27,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20,22,27,127,20,evaluation
Roni,2,27,27,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20,22,27,127,20,evaluation
Adi,1,28,28,relevant,0-1 year,boyfriend/girlfriend (dating),medium,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,33,32,28,128,149,evaluation
Roni,2,28,28,relevant,0-1 year,boyfriend/girlfriend (dating),medium,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,33,32,28,128,149,evaluation
Adi,1,29,29,relevant,0-1 year,separated/divorced,high,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,18,21,29,129,299,evaluation
Roni,2,29,29,relevant,0-1 year,separated/divorced,high,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,18,21,29,129,299,evaluation
Adi,1,30,30,irrelevant,0-1 year,partners/married,low,no,no,no,no,no,no,no,no,no,no,no,no,34,39,30,130,114,evaluation
Roni,2,30,30,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,-1,-1,30,130,114,evaluation
Adi,1,31,31,relevant,3+ years (long),boyfriend/girlfriend (dating),medium,no,no,yes,yes,yes,no,no,no,no,no,no,no,31,29,31,131,88,evaluation
Roni,2,31,31,relevant,3+ years (long),boyfriend/girlfriend (dating),medium,no,no,yes,yes,yes,no,no,no,no,no,no,no,31,29,31,131,88,evaluation
Adi,1,32,32,relevant,3+ years (long),partners/married,high,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,23,22,32,132,108,evaluation
Roni,2,32,32,relevant,3+ years (long),partners/married,high,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,23,22,32,132,108,evaluation
Adi,1,33,33,relevant,1-3 years,boyfriend/girlfriend (dating),medium,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,26,26,33,133,264,evaluation
Roni,2,33,33,relevant,1-3 years,boyfriend/girlfriend (dating),medium,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,26,26,33,133,264,evaluation
Adi,1,34,34,relevant,1-3 years,boyfriend/girlfriend (dating),medium,no,yes,no,no,no,no,no,yes,no,no,yes,no,26,25,34,134,261,evaluation
Roni,2,34,34,relevant,1-3 years,boyfriend/girlfriend (dating),medium,no,yes,no,no,no,no,no,yes,no,no,yes,no,26,25,34,134,261,evaluation
Adi,1,35,35,relevant,0-1 year,boyfriend/girlfriend (dating),high,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,22,21,35,135,294,evaluation
Roni,2,35,35,relevant,0-1 year,boyfriend/girlfriend (dating),high,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,22,21,35,135,294,evaluation
Adi,1,36,36,relevant,unclear from the post,boyfriend/girlfriend (dating),medium,no,no,yes,yes,yes,no,no,no,yes,no,no,no,27,34,36,136,129,evaluation
Roni,2,36,36,relevant,unclear from the post,boyfriend/girlfriend (dating),medium,no,no,yes,yes,yes,no,no,no,yes,no,no,no,27,34,36,136,129,evaluation
Adi,1,37,37,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,yes,yes,no,no,no,no,no,no,no,no,21,36,37,137,137,evaluation
Roni,2,37,37,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,yes,yes,no,no,no,no,no,no,no,no,21,36,37,137,137,evaluation
Adi,1,38,38,relevant,0-1 year,boyfriend/girlfriend (dating),high,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,19,20,38,138,26,evaluation
Roni,2,38,38,relevant,0-1 year,boyfriend/girlfriend (dating),high,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,19,20,38,138,26,evaluation
Adi,1,39,39,relevant,unclear from the post,partners/married,medium,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,35,40,39,139,242,evaluation
Roni,2,39,39,relevant,unclear from the post,partners/married,medium,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,35,40,39,139,242,evaluation
Adi,1,40,40,relevant,3+ years (long),separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,26,27,40,140,59,evaluation
Roni,2,40,40,relevant,3+ years (long),separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,26,27,40,140,59,evaluation
Adi,1,41,41,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,yes,no,no,no,no,no,no,no,20,20,41,141,68,evaluation
Roni,2,41,41,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,yes,no,no,no,no,no,no,no,20,20,41,141,68,evaluation
Adi,1,42,42,relevant,unclear from the post,boyfriend/girlfriend (dating),medium,no,no,yes,no,yes,yes,no,no,no,no,no,no,18,19,42,142,253,evaluation
Roni,2,42,42,relevant,unclear from the post,boyfriend/girlfriend (dating),medium,no,no,yes,no,yes,yes,no,no,no,no,no,no,18,19,42,142,253,evaluation
Adi,1,43,43,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,25,26,43,143,139,evaluation
Roni,2,43,43,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,25,26,43,143,139,evaluation
Adi,1,44,44,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,yes,no,no,no,no,no,no,no,22,22,44,144,146,evaluation
Roni,2,44,44,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,yes,no,no,no,no,no,no,no,22,22,44,144,146,evaluation
Adi,1,45,45,relevant,3+ years (long),boyfriend/girlfriend (dating),high,no,no,yes,yes,no,no,yes,no,no,no,no,yes,51,62,45,145,263,evaluation
Roni,2,45,45,relevant,3+ years (long),boyfriend/girlfriend (dating),high,no,no,yes,yes,no,no,yes,no,no,no,no,yes,51,62,45,145,263,evaluation
Adi,1,46,46,relevant,3+ years (long),separated/divorced,medium,no,no,no,no,yes,no,no,no,no,no,no,no,26,27,46,146,133,evaluation
Roni,2,46,46,relevant,3+ years (long),separated/divorced,medium,no,no,no,no,yes,no,no,no,no,no,no,no,26,27,46,146,133,evaluation
Adi,1,47,47,relevant,3+ years (long),partners/married,medium,no,no,no,no,yes,yes,no,no,no,no,no,no,26,35,47,147,47,evaluation
Roni,2,47,47,relevant,3+ years (long),partners/married,medium,no,no,no,no,yes,yes,no,no,no,no,no,no,26,35,47,147,47,evaluation
Adi,1,48,48,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,yes,no,no,no,no,no,no,no,no,no,no,20,21,48,148,219,evaluation
Roni,2,48,48,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,yes,no,no,no,no,no,no,no,no,no,no,20,21,48,148,219,evaluation
Adi,1,49,49,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,26,28,49,149,304,evaluation
Roni,2,49,49,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,26,28,49,149,304,evaluation
