name,user_id,round_id,example_id,question_0_This post is:,question_1_Total relationship duration,question_2_Current relationship status,question_3_How would you rate the risk level of the woman's relationship based on the information provided in the post?,question_4_Does she mention avoiding social events or outings with friends or family because of him or maybe making excuses for not going out?,"question_5_Does she frequently feel anxious in her interactions with him, as if she needs to be careful with her words and actions?",question_6_Does he frequently make her feel guilty?,question_7_Does he frequently express dissatisfaction with her?,question_8_Does he try to manipulate her?,question_9_Does she feel she doesn't have option to leave him?,"question_10_Has she mentioned feeling like she has to dress, appear or act a certain way to please him?",question_11_Does he exhibit a tendency for angry outbursts?,question_12_Does she ever feel unsafe or threatened by him? Or does it seem evident from the post that he threatened/stalked/harassed her?,question_13_Does she mention that he was physically violent to her?,question_14_Does she mention that he was physically violent towards objects/animals related to her?,question_15_Does she describe verbal violence from her partner? (e.g. name calling/humilation),question_16_Age of female,question_17_Age of male
Omer,3,5,5,relevant,3+ years (long),separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,25.0,23.0
Omer,3,6,6,relevant,1-3 years,partners/married,low,no,no,no,no,no,no,no,no,no,no,no,no,35.0,41.0
Omer,3,7,7,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,23.0,27.0
Omer,3,8,8,relevant,0-1 year,non committed relationship,low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,30.0
Omer,3,9,9,relevant,unclear from the post,boyfriend/girlfriend (dating),medium,no,no,no,no,no,no,no,no,no,yes,no,no,20.0,25.0
Omer,3,10,10,relevant,3+ years (long),partners/married,low,no,no,no,no,no,no,no,no,no,no,no,no,29.0,32.0
Omer,3,11,11,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,26.0,24.0
Omer,3,12,12,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,19.0,20.0
Omer,3,13,13,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,19.0,17.0
Omer,3,14,14,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,100.0,100.0
Omer,3,15,15,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,30.0
Omer,3,16,16,relevant,unclear from the post,unclear from the post,low,no,no,no,no,no,no,no,no,no,no,no,no,32.0,36.0
Omer,3,17,17,relevant,0-1 year,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,21.0,17.0
Omer,3,18,18,relevant,3+ years (long),partners/married,low,no,no,no,no,no,no,no,no,no,no,no,no,28.0,30.0
Omer,3,19,19,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,26.0,26.0
Omer,3,20,20,relevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,28.0,27.0
Omer,3,21,21,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20.0,22.0
Omer,3,22,22,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,26.0,28.0
Omer,3,23,23,relevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,24.0
Omer,3,24,24,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,yes,no,no,no,no,no,no,no,20.0,26.0
Omer,3,25,25,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,24.0,25.0
Omer,3,26,26,relevant,unclear from the post,boyfriend/girlfriend (dating),medium,no,no,no,yes,no,no,no,no,no,no,no,no,24.0,30.0
Omer,3,27,27,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,25.0,27.0
daniel engel,2,20,20,relevant,0-1 year,non committed relationship,low,no,no,no,no,no,no,no,no,no,no,no,no,28.0,27.0
Omer,3,28,28,relevant,3+ years (long),separated/divorced,medium,no,no,no,no,yes,no,no,no,no,no,no,no,23.0,24.0
Omer,3,29,29,relevant,1-3 years,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,28.0
daniel engel,2,21,21,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20.0,21.0
daniel engel,2,22,22,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,26.0,27.0
Omer,3,30,30,relevant,unclear from the post,partners/married,low,no,no,no,no,no,no,no,no,no,no,no,yes,20.0,13.0
Omer,3,31,31,relevant,0-1 year,non committed relationship,low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,28.0
daniel engel,2,23,23,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,24.0
Omer,3,32,32,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,27.0,33.0
Omer,3,33,33,relevant,unclear from the post,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,24.0,57.0
Omer,3,34,34,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,24.0,23.0
Omer,3,35,35,relevant,unclear from the post,partners/married,low,no,no,no,no,no,no,no,no,no,no,no,yes,35.0,38.0
Omer,3,36,36,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,yes,no,no,no,no,no,no,no,no,22.0,23.0
Omer,3,37,37,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,100.0,100.0
Omer,3,38,38,relevant,3+ years (long),partners/married,medium,no,no,yes,yes,no,yes,no,no,no,no,no,yes,32.0,32.0
Omer,3,39,39,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,18.0,18.0
Omer,3,40,40,relevant,3+ years (long),separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,25.0,26.0
Omer,3,41,41,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,16.0,21.0
Omer,3,42,42,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,22.0
Omer,3,43,43,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,100.0,102.0
Omer,3,44,44,relevant,3+ years (long),separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,24.0,24.0
Omer,3,45,45,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20.0,25.0
Omer,3,46,46,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,109.0,100.0
Omer,3,47,47,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,23.0
Omer,3,48,48,relevant,3+ years (long),separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,20.0,24.0
Omer,3,49,49,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20.0,28.0
daniel engel,2,24,24,relevant,3+ years (long),boyfriend/girlfriend (dating),medium,yes,no,no,no,no,yes,no,no,no,no,no,no,20.0,21.0
daniel engel,2,25,25,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,24.0,25.0
daniel engel,2,26,26,relevant,unclear from the post,boyfriend/girlfriend (dating),medium,no,no,yes,yes,yes,no,yes,no,no,no,no,no,24.0,30.0
daniel engel,2,27,27,relevant,0-1 year,separated/divorced,medium,no,yes,yes,no,no,no,no,no,yes,no,no,no,25.0,24.0
daniel engel,2,28,28,relevant,3+ years (long),separated/divorced,high,no,yes,yes,yes,yes,no,no,no,yes,no,no,yes,23.0,23.0
daniel engel,2,29,29,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,1.0,1.0
daniel engel,2,30,30,relevant,0-1 year,boyfriend/girlfriend (dating),medium,no,no,yes,no,yes,no,no,no,no,no,no,no,18.0,20.0
daniel engel,2,31,31,relevant,0-1 year,friends,low,yes,no,no,no,no,no,no,no,no,no,no,no,22.0,25.0
daniel engel,2,32,32,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,27.0,33.0
daniel engel,2,33,33,relevant,0-1 year,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,24.0,58.0
daniel engel,2,34,34,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,24.0,23.0
daniel engel,2,35,35,relevant,3+ years (long),partners/married,medium,no,no,yes,yes,no,no,no,no,no,no,no,yes,35.0,39.0
daniel engel,2,36,36,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,yes,yes,yes,no,yes,no,no,no,no,no,22.0,23.0
daniel engel,2,37,37,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,1.0,1.0
daniel engel,2,38,38,relevant,3+ years (long),separated/divorced,high,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,32.0,32.0
daniel engel,2,39,39,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,18.0,18.0
daniel engel,2,40,40,relevant,3+ years (long),separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,25.0,29.0
daniel engel,2,41,41,relevant,1-3 years,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,21.0,21.0
daniel engel,2,42,42,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,22.0
daniel engel,2,43,43,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,1.0,1.0
daniel engel,2,44,44,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,24.0,24.0
daniel engel,2,45,45,relevant,unclear from the post,boyfriend/girlfriend (dating),medium,no,no,yes,yes,yes,no,no,no,no,no,no,no,20.0,24.0
daniel engel,2,46,46,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,1.0,1.0
daniel engel,2,47,47,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,23.0
daniel engel,2,48,48,relevant,3+ years (long),separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,20.0,22.0
daniel engel,2,49,49,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20.0,28.0
